AllocateNodeId,2756
CloseSubstate,142
CreateNode,4368
DropNode,4212
EmitEvent,3
Invoke,10
LockFee,1
OpenSubstate,142
QueryActor,8
ReadSubstate,143
TxBaseCost,50000
TxPayloadCost,1345
TxSignatureVerification,100000
WriteSubstate,17
